"Jujisha_CD","Item_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","AtaiZokusei_KBN","ChrValue","NumValue","Komoku_KJ","Zokusei_KJ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT","HUB_Sakuseisha_ID","HUB_Sakusei_DT","HUB_Koshinsha_ID","HUB_Koshin_DT","HUB_KoshinProgram_ID"
"00002695","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00002695","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","200905","0.000","クリニシアン配布先施設","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00002977","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00002977","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","133368","0.000","クリニシアン配布先施設","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00003022","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00003022","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","145162","0.000","クリニシアン配布先施設","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00003048","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","i08259","10/28/2013 13:19:37","i08259","10/28/2013 13:19:37","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00003048","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","409391","0.000","クリニシアン配布先施設","","i08259","10/28/2013 13:19:37","i08259","10/28/2013 13:19:37","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00003156","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00003156","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","031313","0.000","クリニシアン配布先施設","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
